PERMNO,date,TICKER,COMNAM,PRC,VOL,SHROUT,OPENPRC
21413,2022-03-07,METV,LISTED FUNDS TRUST,10.66000,1510958,65975,11.00000
21413,2022-03-08,METV,LISTED FUNDS TRUST,10.70000,721207,65975,10.65000
21413,2022-03-09,METV,LISTED FUNDS TRUST,11.19000,649254,65975,11.04000
21413,2022-03-10,METV,LISTED FUNDS TRUST,11.02000,477715,65975,11.02000
21413,2022-03-11,METV,LISTED FUNDS TRUST,10.66000,589679,65975,11.10000
21413,2022-03-14,METV,LISTED FUNDS TRUST,10.29000,729838,65975,10.58000
21413,2022-03-15,METV,LISTED FUNDS TRUST,10.61000,702161,65975,10.32000
21413,2022-03-16,METV,LISTED FUNDS TRUST,11.32000,617966,65975,10.93000
21413,2022-03-17,METV,LISTED FUNDS TRUST,11.56000,666978,65975,11.16000
21413,2022-03-18,METV,LISTED FUNDS TRUST,11.93000,564408,65975,11.50000
21413,2022-03-21,METV,LISTED FUNDS TRUST,11.72000,486372,65975,11.86000
21413,2022-03-22,METV,LISTED FUNDS TRUST,12.06000,563201,65975,11.81000
21413,2022-03-23,METV,LISTED FUNDS TRUST,11.94000,384424,65975,11.94000
21413,2022-03-24,METV,LISTED FUNDS TRUST,12.19000,459402,65975,11.97000
21413,2022-03-25,METV,LISTED FUNDS TRUST,11.95000,409240,65975,12.18000
21413,2022-03-28,METV,LISTED FUNDS TRUST,12.17000,362220,65975,11.91000
21413,2022-03-29,METV,LISTED FUNDS TRUST,12.56000,900321,65975,12.37000
21413,2022-03-30,METV,LISTED FUNDS TRUST,12.26000,792705,65975,12.48000
21413,2022-03-31,METV,LISTED FUNDS TRUST,11.96000,326389,63750,12.25000
21413,2022-04-01,METV,LISTED FUNDS TRUST,11.95000,290255,63750,12.03000
21413,2022-04-04,METV,LISTED FUNDS TRUST,12.44000,382919,63750,12.07000
21413,2022-04-05,METV,LISTED FUNDS TRUST,12.05000,521028,63750,12.40000
21413,2022-04-06,METV,LISTED FUNDS TRUST,11.57000,515777,63750,11.80000
21413,2022-04-07,METV,LISTED FUNDS TRUST,11.47000,356492,63750,11.56000
21413,2022-04-08,METV,LISTED FUNDS TRUST,11.27000,536573,63750,11.46000
21413,2022-04-11,METV,LISTED FUNDS TRUST,11.04000,597443,63750,11.04000
21413,2022-04-12,METV,LISTED FUNDS TRUST,10.92000,455259,63750,11.18000
21413,2022-04-13,METV,LISTED FUNDS TRUST,11.21000,362959,63750,11.01000
21413,2022-04-14,METV,LISTED FUNDS TRUST,10.85000,401526,63750,11.20000
21413,2022-04-18,METV,LISTED FUNDS TRUST,10.76000,366416,63750,10.73000
21413,2022-04-19,METV,LISTED FUNDS TRUST,11.02000,277844,63750,10.77000
21413,2022-04-20,METV,LISTED FUNDS TRUST,10.58000,504993,63750,11.01000
21413,2022-04-21,METV,LISTED FUNDS TRUST,10.17000,992200,63750,10.62000
21413,2022-04-22,METV,LISTED FUNDS TRUST,9.95000,768485,63750,10.15000
21413,2022-04-25,METV,LISTED FUNDS TRUST,10.08000,852138,63750,9.76000
